responses	Labels
I notice no change in my sleep pattern.	0
I usually sleep around 7-8 hours and it hasn’t changed.	0
My sleep has been consistent, nothing unusual.	0
I fall asleep and wake up at the same times as before.	0
I feel well-rested after my regular sleep schedule.	0
My sleep is about the same as usual.	0
No issues with sleep, it's been normal.	0
I’m sleeping like I always have.	0
My sleep schedule is pretty stable.	0
I have no problems falling asleep or staying asleep.	0
I haven’t noticed any changes in my sleep.	0
My sleep is regular and hasn’t changed.	0
I sleep about 8 hours a night, no change.	0
My sleep quality is about the same as before.	0
I feel refreshed in the morning like I always do.	0
I wake up and fall asleep at my usual times.	0
My sleep routine hasn't changed.	0
I haven’t had any sleep disturbances.	0
I sleep well and haven’t noticed any difference.	0
I sleep the same amount and feel rested.	0
My sleep pattern has remained consistent.	0
I don’t have trouble falling asleep or staying asleep.	0
My sleep schedule is regular and hasn't been affected.	0
No changes in my sleep; it’s the same as always.	0
I sleep for the same number of hours every night.	0
My sleep is just like it’s always been.	0
I haven’t experienced any disruptions in my sleep.	0
My sleep habits are the same as before.	0
I’m not sleeping any more or less than usual.	0
I fall asleep quickly and sleep through the night.	0
I have a regular sleep routine that hasn’t changed.	0
I get the same amount of rest each night.	0
My sleep is normal; no changes.	0
My sleep pattern is consistent.	0
My sleep schedule is the same as it’s always been.	0
I get to bed and wake up at the same times.	0
I don’t have any issues with my sleep.	0
I’ve noticed no difference in my sleep patterns.	0
I sleep about 7-8 hours each night and wake up feeling good.	0
My sleep quality is the same as before.	0
I haven’t had any trouble with my sleep schedule.	0
My sleep has been steady and consistent.	0
I haven’t noticed any differences in how I sleep.	0
I feel just as rested as I usually do.	0
My sleep is unaffected.	0
I go to bed and wake up at the same time every day.	0
I get a full night’s sleep and feel fine.	0
No changes in my sleep habits.	0
My sleep pattern is as regular as always.	0
My sleep schedule is normal.	0
I’m sleeping the same amount as always.	0
I fall asleep easily and sleep through the night.	0
My sleep routine is consistent.	0
I don’t have trouble with sleep.	0
I’m sleeping the same as before.	0
I get the same amount of sleep each night.	0
My sleep schedule is unchanged.	0
I feel rested after sleeping the same amount as before.	0
I haven’t noticed any changes in my sleep routine.	0
My sleep is normal and I haven’t noticed any issues.	0
I sleep 8 hours a night and haven’t had any issues.	0
I don’t feel any different in terms of sleep.	0
My sleep routine hasn’t been disrupted.	0
My sleep schedule is just like it’s always been.	0
I sleep well, as I always do.	0
My sleep habits haven’t changed.	0
I go to bed and wake up at my usual times.	0
I feel well-rested and sleep hasn’t been a problem.	0
