responses	Labels
I am feeling very tired	1
I have no energy left to do anything	1
I'm always exhausted no matter how much I sleep	1
Even simple tasks feel like a burden	1
I can't get out of bed most days	1
I feel drained all the time	1
It's hard to find the motivation to do anything	1
I'm constantly fatigued physically and mentally	1
My energy levels are at an all-time low	1
I feel weak and lethargic all day	1
My energy is completely depleted	1
Every day feels exhausting	1
I have zero energy to do anything productive	1
I feel like I’m running on empty all the time	1
I wake up tired and stay tired all day	1
I just don’t have the energy for anything	1
Even small tasks leave me feeling drained	1
I feel physically and emotionally exhausted	1
I can’t seem to shake this fatigue	1
I feel sluggish and unable to concentrate	1
It’s like my body just doesn't want to move	1
No matter what I do I feel completely drained	1
Every day feels like a struggle just to stay awake	1
I feel so tired even after resting	1
My energy has been so low lately	1
I don't have the strength to do anything	1
I feel worn out all the time	1
Every movement feels like a chore	1
I can barely keep my eyes open throughout the day	1
I am completely exhausted all the time	1
It’s hard to even get out of bed in the morning	1
I have no motivation to do anything	1
My energy just seems to be gone	1
Even basic tasks feel overwhelming	1
I’m drained by everything I do	1
I feel constantly tired no matter how much I rest	1
I have no energy to interact with people	1
My body feels heavy and sluggish	1
I just want to sleep all the time	1
I feel completely burnt out	1
I’m always too tired to do anything fun	1
I don’t have the energy to care about anything	1
I feel like I’m stuck in a fog of exhaustion	1
I can't get through the day without feeling exhausted	1
My energy levels are non-existent	1
It takes all my effort just to get through the day	1
I am constantly tired no matter what	1
I feel so fatigued I can’t focus on anything	1
My energy just disappears halfway through the day	1
I feel drained even after a full night's sleep	1
I can’t seem to get enough energy to function	1
I feel like I’m barely getting by with how tired I am	1
Every task feels like it takes twice the effort	1
My body feels heavy and unmotivated	1
I feel so sluggish and worn out	1
I just want to lie down all day	1
I am perpetually tired no matter what I do	1
I have no drive to do anything	1
My energy feels completely zapped	1
I feel like I’m constantly running on empty	1
I’m mentally and physically drained	1
I can’t keep my energy up for anything	1
Every little thing feels like a massive effort	1
I am always too tired to socialize	1
My energy feels like it's been sapped away	1
I feel completely devoid of energy	1
It feels impossible to get through the day	1
My fatigue is constant and overwhelming	1
I feel exhausted even after a full night’s sleep	1
It’s like I never have enough energy to do anything	1
I am always feeling drained and tired	1
My body is constantly telling me to rest	1
I feel so fatigued that everything feels impossible	1
It’s hard to muster up energy for anything	1
My energy levels are at rock bottom	1
I feel completely wiped out all the time	1
I feel like I’ve been drained of all my energy	1
I can't seem to do anything without feeling exhausted	1
My tiredness is overwhelming	1
I feel sluggish no matter how much rest I get	1
My energy levels have completely crashed	1
It’s like I’m always running on fumes	1
I feel perpetually exhausted	1
I just want to sleep all day	1
I feel tired from the moment I wake up	1
My fatigue never seems to go away	1
I feel like I have no energy left to give	1
I am completely fatigued all the time	1
