responses	Labels
I feel like I'm sinking into a dark hole with no way out	1
I'm overwhelmed by sadness, and everything feels pointless	1
I often think about how much easier things would be if I weren't here	1
I feel really scared and lonely	1
My thoughts just spiral into negative things I can’t escape	1
I struggle to find any reason to keep going	1
The silence makes me realize how empty I feel inside	1
I feel numb, like nothing matters anymore	1
Being alone makes me feel worthless and undeserving of love	1
I tend to feel anxious, and my mind races with worries I can’t control	1
I enjoy the peace and quiet—it helps me recharge	0
I find it relaxing to spend time alone with my thoughts	0
Being alone helps me focus on what’s important to me	0
I use the time alone to plan my next steps and reflect on life	0
I feel content and at ease when I'm alone	0
I love the freedom of being by myself; it helps me be creative	0
It’s refreshing to have some alone time to think and relax	0
Being alone gives me space to process things at my own pace	0
I feel calm and clear-minded when I’m by myself	0
I appreciate the solitude—it’s a time for self-reflection and growth	0
I feel like I'm sinking into a dark hole with no way out	1
Everything feels pointless, and I can't escape it	1
I often think about how much easier things would be if I weren’t here	1
I feel really scared and lonely all the time	1
My mind constantly spirals into negative thoughts	1
I struggle to find a reason to keep going	1
The silence makes me realize how empty I feel	1
I feel numb, like nothing matters anymore	1
Being alone makes me feel worthless	1
I tend to feel anxious and overwhelmed when I’m alone	1
I can’t escape the feeling that nothing will ever get better	1
I feel trapped in my own thoughts	1
No one would even notice if I disappeared	1
I’m constantly battling the urge to just give up	1
Loneliness makes me feel like I’m drowning	1
I feel like a burden to everyone around me	1
Being alone is just a reminder of how isolated I am	1
I don’t see a way out of this darkness	1
The quiet makes the sadness even louder	1
I feel like I’m losing control of my life	1
I can’t stop thinking about all my mistakes	1
Everything feels heavy, like I’m carrying a weight I can’t lift	1
I feel like I’m stuck in a cycle of sadness and hopelessness	1
I often cry when I’m alone because it’s the only time I can let it out	1
It feels like nothing I do will ever be enough	1
I just want the pain to stop, but I don’t know how	1
When I’m alone, I can’t help but feel worthless	1
I’m exhausted, but I can’t rest because my mind won’t stop racing	1
The loneliness makes me question if I even matter	1
I feel like I’m fading away, like I don’t exist	1
I’m haunted by thoughts of failure and regret	1
Being alone makes me feel like I’m invisible	1
I’m scared of being alone with my thoughts	1
I feel like I’m sinking deeper and deeper into sadness	1
There’s no escape from the overwhelming sense of dread	1
I feel like I’m stuck in a never-ending nightmare	1
The quiet amplifies all the things I hate about myself	1
I feel disconnected from everyone, even when they’re around	1
I keep replaying all my worst moments in my head	1
I’m constantly battling feelings of worthlessness	1
It’s hard to breathe when I’m alone with my thoughts	1
The emptiness inside me feels unbearable	1
I don’t know how to stop feeling so broken	1
I’m always afraid that things will never get better	1
I feel like I’m sinking deeper into despair	1
Being alone makes me feel like a failure	1
I don’t see the point in trying anymore	1
Everything feels like too much to handle	1
I feel like I’m suffocating under the weight of my sadness	1
I can’t shake the feeling that I’m not good enough	1
I’m terrified of being alone, but I can’t face people either	1
I feel like I’m constantly letting everyone down	1
It’s hard to find the strength to keep going	1
I feel like I’m always on the verge of breaking down	1
I can’t stop thinking about how hopeless everything feels	1
I feel like a burden, like I don’t belong anywhere	1
Being alone makes me feel even more disconnected from the world	1
I feel like I’m trapped in my own sadness	1
It’s like I’m stuck in a dark tunnel with no way out	1
I feel so lost, like I don’t know who I am anymore	1
I’m constantly overwhelmed by feelings of guilt and shame	1
The loneliness makes me feel like I’m disappearing	1
I can’t escape the overwhelming sadness	1
I feel like I’m drowning in my own thoughts	1
It’s hard to see any light when everything feels so dark	1
I feel like I’m losing myself, piece by piece	1
I’m constantly questioning my worth and purpose	1
Being alone just amplifies the feeling of hopelessness	1
I feel like I’m stuck in a cycle of sadness I can’t break	1
I’m scared of my own thoughts—they’re so dark and overwhelming	1
The silence makes everything feel so much worse	1
I feel like I’m constantly fighting a battle I can’t win	1
I’m exhausted from pretending I’m okay when I’m not	1
It feels like I’m carrying the weight of the world on my shoulders	1
I feel like I’m drowning in sadness and can’t catch my breath	1
I don’t know how to stop feeling so hopeless	1
The loneliness is crushing, and I don’t know how to escape it	1
I feel like I’m falling apart, but no one can see it	1
I’m always afraid that I’ll never feel happy again	1
I feel like I’m fading away into nothingness	1
I can’t stop thinking about all the things I’ve failed at	1
I feel like I’m stuck in a fog that I can’t get out of	1
The sadness is overwhelming, and I don’t know how to cope	1
I feel like I’m constantly drowning in negative thoughts	1
The quiet makes me feel like I’m disappearing	1
I feel like I’m on the outside looking in, disconnected from everything	1
The loneliness is suffocating, and I can’t escape it	1
I feel like I’m constantly struggling to keep my head above water	1
I can’t stop thinking about all the things that have gone wrong	1
